date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,subscribers,video_thumbnail_impressions,video_thumbnail_impressions_ctr,estimated_unique_viewers,estimated_partner_revenue,estimated_partner_ad_revenue,youtube_ad_revenue,estimated_partner_adsense_revenue,ad_impressions,cpm,playback_based_cpm,estimated_monetized_playbacks,likes,dislikes,shares,card_clicks,cards_shown,card_teaser_clicks,card_teasers_shown,end_screen_element_clicks,end_screen_elements_shown
2018-05-31,67.7366,27,2.5088,27.8751,1,341,6.4516,21,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,1,11
2018-06-01,15.1438,22,0.6884,7.6484,0,272,5.8824,20,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,3
2018-06-02,48.3623,28,1.7272,19.1914,0,218,9.633,23,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,1
2018-06-03,35.58,26,1.3685,15.2051,1,262,8.0153,19,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,1,6
2018-06-04,50.3696,29,1.7369,19.2987,0,328,6.4024,27,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,5
2018-06-05,84.8112,26,3.262,36.2441,0,231,7.7922,22,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,17
2018-06-06,81.4259,25,3.257,36.1893,1,283,5.3004,18,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,15
2018-06-07,63.5104,36,1.7642,19.602,0,265,11.3208,27,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,12
2018-06-08,35.2576,20,1.7629,19.5876,0,223,7.1749,15,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,3
2018-06-09,61.1414,27,2.2645,25.1611,0,223,8.5202,25,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,9
2018-06-10,76.363,21,3.6363,40.4037,0,236,7.2034,19,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,14
2018-06-11,55.3384,19,2.9125,32.3617,0,260,5.0,19,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,6
2018-06-12,51.0132,19,2.6849,29.8323,1,179,5.0279,16,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,11
2018-06-13,28.9073,12,2.4089,26.766,0,218,5.0459,12,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,3
2018-06-14,83.8566,38,2.2067,24.5195,0,244,11.4754,28,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,17
2018-06-15,36.9348,20,1.8467,20.5193,0,251,6.3745,17,0.0,0.0,0.0,0.0,0,,,0,1,1,0,0,0,0,0,0,3
2018-06-16,47.6945,22,2.1679,24.0881,0,245,6.5306,18,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,9
2018-06-17,15.0654,17,0.8862,9.8467,0,189,6.8783,11,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-18,25.3993,22,1.1545,12.8279,0,220,9.0909,19,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,6
2018-06-19,33.5001,25,1.34,14.8889,0,233,9.8712,19,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,3,9
2018-06-20,53.5341,29,1.846,20.5112,0,232,10.7759,25,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,1,6
2018-06-21,40.7013,19,2.1422,23.8019,0,217,5.53,18,0.017,0.017,0.03,0.017,8,3.75,3.75,8,0,0,0,0,0,0,0,0,2
2018-06-22,91.8844,37,2.4834,27.5929,0,261,11.1111,29,0.006,0.006,0.011,0.006,19,0.579,0.688,16,0,0,0,0,0,0,0,0,10
2018-06-23,31.5109,29,1.0866,12.0731,1,242,10.3306,19,0.039,0.039,0.071,0.039,17,4.176,4.176,17,0,0,0,0,0,0,0,0,9
2018-06-24,55.9168,40,1.3979,15.5324,0,293,12.9693,29,0.009,0.009,0.017,0.009,30,0.567,0.567,30,1,0,0,0,0,0,0,0,8
2018-06-25,76.0548,30,2.5352,28.1684,0,255,8.2353,23,0.004,0.004,0.007,0.004,10,0.7,0.636,11,1,0,0,0,0,0,0,0,12
2018-06-26,59.2424,32,1.8513,20.5703,0,220,10.4545,24,0.016,0.016,0.03,0.016,22,1.364,1.364,22,0,0,0,0,0,0,0,1,13
2018-06-27,19.5221,16,1.2201,13.557,0,167,7.1856,14,0.002,0.002,0.004,0.002,14,0.286,0.333,12,0,0,0,0,0,0,0,0,3
2018-06-28,40.5794,19,2.1358,23.7306,0,171,7.0175,17,0.013,0.013,0.023,0.013,18,1.278,1.353,17,0,0,0,0,0,0,0,0,6
2018-06-29,37.4243,25,1.497,16.633,0,211,8.5308,23,0.006,0.006,0.011,0.006,17,0.647,0.647,17,0,1,0,0,0,0,0,0,10
2018-06-30,48.8274,24,2.0345,22.6053,0,190,8.4211,20,0.016,0.016,0.029,0.016,25,1.16,1.381,21,0,0,0,0,0,0,0,1,6
2018-07-01,23.6992,14,1.6928,18.8089,0,257,5.4475,13,0.008,0.008,0.015,0.008,11,1.364,1.364,11,0,0,0,0,0,0,0,0,0
2018-07-02,47.4189,36,1.3172,14.6355,0,245,12.2449,29,0.007,0.007,0.013,0.007,17,0.765,1.0,13,0,0,0,0,0,0,0,0,9
2018-07-03,85.5185,38,2.2505,25.0054,0,288,10.4167,34,0.011,0.011,0.02,0.011,21,0.952,1.176,17,0,0,0,0,0,0,0,1,7
2018-07-04,78.6538,23,3.4197,37.997,0,199,9.5477,22,0.103,0.103,0.188,0.103,23,8.174,11.75,16,0,0,0,0,0,0,0,2,15
2018-07-05,16.5863,15,1.1058,12.2862,0,242,4.5455,15,0.001,0.001,0.001,0.001,9,0.111,0.111,9,0,0,0,0,0,0,0,0,0
2018-07-06,40.3124,14,2.8794,31.9939,0,188,5.8511,14,0.006,0.006,0.011,0.006,9,1.222,1.571,7,0,0,0,0,0,0,0,0,6
2018-07-07,67.8662,18,3.7704,41.8927,0,227,6.1674,18,0.003,0.003,0.005,0.003,17,0.294,0.333,15,0,0,0,0,0,0,0,1,9
2018-07-08,91.0921,36,2.5303,28.1148,0,226,10.6195,27,0.006,0.006,0.011,0.006,17,0.647,0.688,16,2,0,0,0,0,0,0,0,10
2018-07-09,54.4669,19,2.8667,31.852,0,249,6.8273,17,0.003,0.003,0.005,0.003,14,0.357,0.5,10,1,0,0,0,0,0,0,0,9
2018-07-10,88.7017,49,1.8102,20.1138,0,320,13.4375,33,0.012,0.012,0.021,0.012,33,0.636,0.7,30,1,0,0,0,0,0,0,0,13
2018-07-11,69.2048,18,3.8447,42.719,0,206,6.7961,18,0.004,0.004,0.007,0.004,14,0.5,0.538,13,0,0,0,0,0,0,0,0,19
2018-07-12,39.36,27,1.4578,16.1975,0,303,7.2607,21,0.003,0.003,0.006,0.003,19,0.316,0.375,16,0,0,0,0,0,0,0,1,6
2018-07-13,46.7518,28,1.6697,18.5523,0,391,4.0921,26,0.002,0.002,0.003,0.002,16,0.188,0.2,15,0,0,0,0,0,0,0,0,3
2018-07-14,96.373,49,1.9668,21.8533,0,387,9.0439,33,0.005,0.005,0.008,0.005,32,0.25,0.421,19,1,0,0,0,0,0,0,3,21
2018-07-15,66.7231,23,2.901,32.2334,0,260,4.6154,19,0.009,0.009,0.016,0.009,19,0.842,1.333,12,1,0,0,0,0,0,0,0,10
2018-07-16,88.4716,42,2.1065,23.4052,0,269,10.7807,34,0.004,0.004,0.008,0.004,16,0.5,0.667,12,0,0,0,0,0,0,0,0,10
2018-07-17,96.4703,25,3.8588,42.8757,1,269,7.4349,23,0.002,0.002,0.004,0.002,7,0.571,0.667,6,0,0,0,0,0,0,0,0,17
2018-07-18,93.726,28,3.3474,37.1929,0,246,8.1301,25,0.005,0.005,0.01,0.005,13,0.769,0.833,12,0,0,0,0,0,0,0,0,18
2018-07-19,115.3078,34,3.3914,37.6823,0,245,11.4286,28,0.004,0.004,0.007,0.004,18,0.389,0.583,12,0,0,0,0,0,0,0,1,19
